OBJECTID_1,OBJECTID,DPTO_DPTO_,MPIO_CNMBR,MPIO_CRSLC,MPIO_NANO_,MPIO_NAREA,MPIO_CSMBL,MPIO_CCNCT,MPIO_NANO,Nacidos_Vivos,Casos
1,369,17,MANIZALES, ,1993,442891074.2,4,17001,2005,5325,2
2,372,17,AGUADAS, ,1993,474863921.9,4,17013,2005,127,0
3,373,17,ANSERMA, ,1993,210337082.7,4,17042,2005,202,1
4,374,17,ARANZAZU,ORD 27 DE OCTUBRE 22 DE 1855,1993,144499462.9,4,17050,2005,53,0
5,375,17,BELALCAZAR,ORD 17 DE 1911,1993,111717874.6,4,17088,2005,54,0
6,376,17,CHINCHINA,ORD 21 DE ABRIL 26 DE 1930,1993,108401227.7,4,17174,2005,621,0
7,377,17,FILADELFIA,LEY 253 DE 1873,1993,194332137.4,4,17272,2005,25,0
8,378,17,LA DORADA,ORD 43 DE 1923,1993,533522312.6,4,17380,2005,1524,0
9,379,17,MANZANARES, ,1993,194902019.2,4,17433,2005,104,0
10,380,17,MARMATO, ,1993,33730305.68,4,17442,2005,54,0
11,381,17,MARQUETALIA,ORD 32 DE ABRIL 26 DE 1924,1993,90391639.25,4,17444,2005,52,0
12,382,17,MARULANDA, ,1993,341539992.8,4,17446,2005,5,0
13,383,17,NEIRA,DEC 29 DE 1999,1993,374252146.3,4,17486,2005,61,0
14,384,17,NORCASIA,ORD 327 DEL 30 DE JUNIO DE 1999,1999,226203359,4,17495,2005,25,0
15,385,17,PACORA, ,1993,256289005,4,17513,2005,52,0
16,386,17,PALESTINA,ORD 19 DE 15 DE ABRIL DE 1913,1993,112302843.5,4,17524,2005,9,0
17,387,17,PENSILVANIA, ,1993,542166019.6,4,17541,2005,63,0
18,388,17,LA MERCED,ORD 1 DE OCTUBRE 21 DE 1969,1993,88512139.33,4,17388,2005,21,0
19,389,17,RIOSUCIO, ,1993,359554822.6,4,17614,2005,607,0
20,390,17,RISARALDA, ,1993,89022740.09,4,17616,2005,65,0
21,391,17,SALAMINA, ,1993,387660065.7,4,17653,2005,210,0
22,392,17,SAN JOSE,ORD 233 DEL 17 DE DICIEMBRE DE 1997,1997,61703512.72,4,17665,2005,33,0
23,393,17,SUPIA, ,1993,129676429.1,4,17777,2005,178,0
24,394,17,VICTORIA, ,1993,579490527.9,4,17867,2005,19,0
25,395,17,VILLA MARIA, ,1993,455016597.9,4,17873,2005,42,0
26,396,17,VITERBO,DEC 826 DE DICIEMBRE 31 DE  1951,1993,114027319.9,4,17877,2005,43,1
27,403,17,SAMANA,DEC 1181 DE OCTUBRE 20 DE 1908,1993,758926113.3,4,17662,2005,93,0